"id","subject","topic","subtopic","description","created_at"
1,"Current Affairs","Polity & Governance","Constitutional Amendments","recent constitutional amendments","2026-01-05 21:03:29"
2,"Current Affairs","Polity & Governance","New Acts & Bills","newly enacted Acts or important Bills","2026-01-05 21:03:29"
3,"Current Affairs","Polity & Governance","Amended Acts & Bills","major amendments to existing Acts","2026-01-05 21:03:29"
4,"Current Affairs","Polity & Governance","Judicial Verdicts","major Supreme Court or High Court judgments with policy impact","2026-01-05 21:03:29"
5,"Current Affairs","Polity & Governance","Federal Relations","centre–state relations and federal issues in news","2026-01-05 21:03:29"
6,"Current Affairs","Polity & Governance","Local Governance Reforms","reforms in Panchayati Raj and urban local bodies","2026-01-05 21:03:29"
7,"Current Affairs","Polity & Governance","Administrative Reforms","civil service and administrative reforms","2026-01-05 21:03:29"
8,"Current Affairs","Polity & Governance","RTI & Transparency","RTI transparency initiatives and citizen charters","2026-01-05 21:03:29"
9,"Current Affairs","Polity & Governance","Governance Missions","mission-mode governance programmes like Digital India and PM Gati Shakti","2026-01-05 21:03:29"
10,"Current Affairs","Polity & Governance","Other Polity","other current affairs items related to polity and governance","2026-01-05 21:03:29"
11,"Current Affairs","Economy","Budget Highlights","Union Budget key measures and highlights","2026-01-05 21:03:29"
12,"Current Affairs","Economy","Economic Survey Themes","major themes and ideas from the Economic Survey","2026-01-05 21:03:29"
13,"Current Affairs","Economy","Macro Indicators","growth inflation deficit and other macro indicators in news","2026-01-05 21:03:29"
14,"Current Affairs","Economy","Financial Sector Reforms","reforms in banking NBFC and financial sector regulation","2026-01-05 21:03:29"
15,"Current Affairs","Economy","Monetary Policy","RBI monetary policy decisions and tools","2026-01-05 21:03:29"
16,"Current Affairs","Economy","External Sector","trade policy FTAs export schemes and external sector developments","2026-01-05 21:03:29"
17,"Current Affairs","Economy","Financial Inclusion","financial inclusion initiatives like Jan Dhan UPI and DBT","2026-01-05 21:03:29"
18,"Current Affairs","Economy","Social Security Schemes","pension insurance PDS and social security schemes","2026-01-05 21:03:29"
19,"Current Affairs","Economy","Agriculture Policies","current agricultural policies MSP issues and schemes","2026-01-05 21:03:29"
20,"Current Affairs","Economy","Infrastructure Initiatives","major infrastructure programmes and projects","2026-01-05 21:03:29"
21,"Current Affairs","Economy","Startups & Innovation","policies and news about startups and innovation ecosystem","2026-01-05 21:03:29"
22,"Current Affairs","Economy","Other Economy","other current economic affairs","2026-01-05 21:03:29"
23,"Current Affairs","Environment","Global Summits & COP","climate and environment summits like COP and related outcomes","2026-01-05 21:03:29"
24,"Current Affairs","Environment","New Treaties & Alliances","new international environmental treaties and alliances","2026-01-05 21:03:29"
25,"Current Affairs","Environment","India Environment Policies","changes in India’s environmental policies and rules","2026-01-05 21:03:29"
26,"Current Affairs","Environment","Climate Targets","India or global climate targets and missions","2026-01-05 21:03:29"
27,"Current Affairs","Environment","Protected Areas","new protected areas like national parks and Ramsar sites","2026-01-05 21:03:29"
28,"Current Affairs","Environment","Species Protection","species protection decisions and conservation moves","2026-01-05 21:03:29"
29,"Current Affairs","Environment","Disaster & Climate Initiatives","disaster risk reduction and climate-resilience initiatives","2026-01-05 21:03:29"
30,"Current Affairs","Environment","Other Environment","other current environment and climate affairs","2026-01-05 21:03:29"
31,"Current Affairs","Science & Technology","Space Missions","ISRO and other notable current space missions","2026-01-05 21:03:29"
32,"Current Affairs","Science & Technology","Defence Technology","defence technologies and weapon systems in current affairs","2026-01-05 21:03:29"
33,"Current Affairs","Science & Technology","Digital Technology","data protection digital laws and ICT policy in news","2026-01-05 21:03:29"
34,"Current Affairs","Science & Technology","Biotech & Health","biotech vaccines and health-tech in current affairs","2026-01-05 21:03:29"
35,"Current Affairs","Science & Technology","Energy Technology","energy technologies like green hydrogen and fusion in news","2026-01-05 21:03:29"
36,"Current Affairs","Science & Technology","Frontier Technology","frontier technologies like AI quantum robotics and semiconductors","2026-01-05 21:03:29"
37,"Current Affairs","Science & Technology","Other Science & Tech","other current science and technology issues","2026-01-05 21:03:29"
38,"Current Affairs","International Relations","Multilateral Summits","substantive outcomes of G20 SCO BRICS QUAD ASEAN UN and similar summits","2026-01-05 21:03:29"
39,"Current Affairs","International Relations","India Bilateral Agreements","important India bilateral agreements and visits","2026-01-05 21:03:29"
40,"Current Affairs","International Relations","Global Crises","global conflicts crises and their implications for India","2026-01-05 21:03:29"
41,"Current Affairs","International Relations","Int. Org. Reforms","reforms and debates around UN IMF WTO and other bodies","2026-01-05 21:03:29"
42,"Current Affairs","International Relations","Foreign Aid & Relief","India’s humanitarian and development assistance abroad","2026-01-05 21:03:29"
43,"Current Affairs","International Relations","Other IR","other current international relations issues","2026-01-05 21:03:29"
44,"Current Affairs","Social Issues","Education Policies","education policies and schemes in current affairs","2026-01-05 21:03:29"
45,"Current Affairs","Social Issues","Health Schemes","public health programmes and schemes in news","2026-01-05 21:03:29"
46,"Current Affairs","Social Issues","Gender Schemes","current gender and women empowerment schemes","2026-01-05 21:03:29"
47,"Current Affairs","Social Issues","Skill & Employment","skill development and employment initiatives","2026-01-05 21:03:29"
48,"Current Affairs","Social Issues","Vulnerable Groups","schemes for SC ST OBC minorities and disabled","2026-01-05 21:03:29"
49,"Current Affairs","Social Issues","Nutrition & Child Welfare","nutrition and child welfare programmes in news","2026-01-05 21:03:29"
50,"Current Affairs","Social Issues","Other Social Issues","other current social sector issues","2026-01-05 21:03:29"
51,"Current Affairs","Other Current Affairs","Reports Methodology","conceptual questions on report or index methodology","2026-01-05 21:03:29"
52,"Current Affairs","Other Current Affairs","Committee Recommendations","committee reports and recommendations of conceptual nature","2026-01-05 21:03:29"
53,"Current Affairs","Other Current Affairs","Indices Methodology","methodology of composite indices as conceptual current affairs","2026-01-05 21:03:29"
54,"Current Affairs","Other Current Affairs","Budget Misc Facts","other conceptual budget related items not covered under CURR-ECO","2026-01-05 21:03:29"
55,"Current Affairs","Other Current Affairs","Other Misc","other conceptual current affairs not fitting other categories","2026-01-05 21:03:29"
56,"History","Ancient History","Prehistoric Cultures","prehistoric cultures including Palaeolithic Mesolithic and Neolithic","2026-01-05 21:03:29"
57,"History","Ancient History","Harappan Civilization","Indus Valley or Harappan civilisation","2026-01-05 21:03:29"
58,"History","Ancient History","Vedic Age","early and later Vedic age","2026-01-05 21:03:29"
59,"History","Ancient History","Mahajanapadas & Republics","mahajanapadas and gana-sanghas","2026-01-05 21:03:29"
60,"History","Ancient History","Religions","early Indian religions like Buddhism Jainism and others","2026-01-05 21:03:29"
61,"History","Ancient History","Mauryan Empire","Mauryan empire and Ashoka’s dhamma","2026-01-05 21:03:29"
62,"History","Ancient History","Post-Mauryan Kingdoms","post-Mauryan kingdoms such as Indo-Greeks Kushanas and Satavahanas","2026-01-05 21:03:29"
63,"History","Ancient History","Gupta & Post-Gupta Age","Gupta and post-Gupta period","2026-01-05 21:03:29"
64,"History","Ancient History","South Indian Kingdoms","ancient South Indian kingdoms and Sangam age","2026-01-05 21:03:29"
65,"History","Ancient History","Art & Architecture","ancient Indian art and architecture","2026-01-05 21:03:29"
66,"History","Ancient History","Science & Tech","science and technology in ancient India","2026-01-05 21:03:29"
67,"History","Ancient History","Other Ancient","other ancient Indian history topics","2026-01-05 21:03:29"
68,"History","Medieval History","Early Medieval Polities","early medieval Indian polities and regional kingdoms","2026-01-05 21:03:29"
69,"History","Medieval History","Delhi Sultanate","Delhi Sultanate from Slave to Lodi dynasty","2026-01-05 21:03:29"
70,"History","Medieval History","Mughal Empire","Mughal empire and its administration","2026-01-05 21:03:29"
71,"History","Medieval History","Provincial Kingdoms","provincial kingdoms and Deccan sultanates","2026-01-05 21:03:29"
72,"History","Medieval History","Society & Economy","medieval Indian society and economy","2026-01-05 21:03:29"
73,"History","Medieval History","Religious Movements","Bhakti Sufi and early Sikh movements","2026-01-05 21:03:29"
74,"History","Medieval History","Art & Culture","medieval Indian art architecture and culture","2026-01-05 21:03:29"
75,"History","Medieval History","Other Medieval","other medieval Indian history topics","2026-01-05 21:03:29"
76,"History","Modern History","Advent of Europeans","advent of Europeans in India","2026-01-05 21:03:29"
77,"History","Modern History","British Expansion","British expansion and consolidation in India","2026-01-05 21:03:29"
78,"History","Modern History","Colonial Administration","colonial administration and revenue systems","2026-01-05 21:03:29"
79,"History","Modern History","Socio-Religious Reforms","socio-religious reform movements of the nineteenth century","2026-01-05 21:03:29"
80,"History","Modern History","Peasant & Tribal Movements","peasant and tribal uprisings under colonial rule","2026-01-05 21:03:29"
81,"History","Modern History","Revolt of 1857","Revolt of 1857","2026-01-05 21:03:29"
